Período;ARS;Hospital;Localização Geográfica;Grupo Hospitalar;DDD Consumidas de Cefalosporinas;DDD Consumidas dos Restantes Antibióticos;Peso
2018-10;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;2040;4794;0.2984813708448771
2018-10;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1606;5715;0.21943687840309256
2018-10;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;676;2459;0.21572958653094368
2018-10;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;3008;11046;0.21407200159779946
2018-10;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;71;290;0.19655274692680355
2018-11;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;121;308;0.2819965041755681
2018-11;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;176;445;0.284143706621288
2018-11;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;797;2242;0.26243628191776736
2018-11;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;1004;5467;0.1551787412035119
2018-11;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2193;8758;0.20027270245194875
2018-11;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;2396;8175;0.22666124069362673
2018-11;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2511;5762;0.30350845093355566
2018-11;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;1269;3836;0.24871249087844366
2018-11;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2170;9530;0.18546618896727105
2018-11;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;67;190;0.2601099967648007
2018-12;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;1174;5962;0.1645389578765621
2018-12;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;447;1534;0.225596920129369
2018-12;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;566;2134;0.20973251237389223
2018-12;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;462;2839;0.1401095434008933
2018-12;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1401;11576;0.10796777666176145
2018-12;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;457;1000;0.3137629509883166
2018-12;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;907;4809;0.15866405263327765
2019-01;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;4;0.07692307692307684
2019-01;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;681;1867;0.2672539421567893
2019-01;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;940;5125;0.15510855197870987
2019-01;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;804;2703;0.22928025555520354
2019-01;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;2222;5704;0.28035707357853246
2019-01;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;1300;5700;0.18578024745307647
2019-01;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;2748;11246;0.19638055786515185
2019-01;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2679;6972;0.2775726645058235
2019-01;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;2898;12303;0.19066007721833558
2019-01;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;5015;18759;0.21096176187567767
2019-01;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;3102;14821;0.17310518254192375
2019-01;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;531;994;0.3484461921369443
2019-01;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;1158;4897;0.19127014083842503
2019-02;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;38;123;0.23638232271325785
2019-02;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;748;2166;0.2566872224862237
2019-02;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1715;5730;0.23035563542412765
2019-02;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;2120;5462;0.27958225488585103
2019-02;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2626;11393;0.1873400346252348
2019-02;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;6519;24268;0.2117560176562884
2019-02;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;3435;25855;0.11729324536734505
2019-02;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1815;14271;0.11283432646565025
2019-02;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;1140;4954;0.18716665267039156
2019-03;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;40;224;0.1530708661417323
2019-03;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;931;5927;0.13585500491574903
2019-03;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;397;1498;0.20976943824317149
2019-03;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;747;2415;0.23629318338957056
2019-03;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;988;4664;0.1748514772251037
2019-03;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;890;5712;0.13482868529966882
2019-03;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1653;5942;0.21771832327706495
2019-03;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;2461;6490;0.27500555213487893
2019-03;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;676;3081;0.18004812223491182
2019-03;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1603;7756;0.1713294630940804
2019-03;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2893;8958;0.2441398948854814
2019-03;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;4442;9744;0.31311073312729754
2019-03;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;1166;4045;0.22384897655714917
2019-03;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;1090;5193;0.17350878112580534
2019-04;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;80;212;0.27623343899861796
2019-04;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2477;8141;0.23330002313277565
2019-04;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;2334;5410;0.3013731406907537
2019-04;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1448;6543;0.1812602958900648
2019-04;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2914;9155;0.24148407480944134
2019-04;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;4262;9650;0.3063706925966999
2019-04;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;1183;4520;0.2075693725814165
2019-05;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;986;5187;0.1598110188424864
2019-05;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;329;1855;0.15081406246594428
2019-05;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;895;5404;0.14211923089424058
2019-05;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;1603;6187;0.20587836812279495
2019-05;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1488;7038;0.17454098041804703
2019-05;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;1439;5174;0.21767614728022933
2019-05;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;2642;10226;0.20536175755610944
2019-05;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;7205;23258;0.23652130791613277
2019-05;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;4422;16702;0.2093598693988312
2019-06;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;629;1412;0.3081305340373361
2019-06;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;568;1894;0.23074487447117237
2019-06;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;745;4670;0.13763006687614843
2019-06;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1968;4563;0.30132811553046696
2019-06;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;1482;6531;0.18501896645813565
2019-06;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2561;6583;0.28010099443518655
2019-06;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;2496;9848;0.2022065128760934
2019-07;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;62;209;0.2302249399432191
2019-07;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;1;2;0.2727272727272727
2019-07;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;2208;7287;0.23255650684330414
2019-07;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2518;8182;0.23531198286771154
2019-07;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2625;10645;0.19782239270624927
2019-07;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;7361;23671;0.23720836665943906
2019-07;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;4107;17411;0.1908663089391746
2019-07;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;981;4456;0.18041683950049126
2019-08;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;19;93;0.17356769875707875
2019-08;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;210;2080;0.09197414769480149
2019-08;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1784;4416;0.2878012991236156
2019-08;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;1169;5667;0.1710802364350194
2019-08;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;2249;5184;0.3026141100767273
2019-08;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;431;2483;0.14791853004480274
2019-08;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;1009;3625;0.21783001356220116
2019-08;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;3989;16282;0.196816793529733
2019-09;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;78;212;0.2689434364994664
2019-09;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1659;4155;0.28544248057546634
2019-09;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2523;7301;0.25687987801147055
2019-09;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2489;6165;0.28762453936083426
2019-09;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;12;172;0.06507004066877543
2019-10;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;46;201;0.1859211855843716
2019-10;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;163;279;0.36851020353292263
2019-10;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;836;2590;0.24405198992816737
2019-10;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;291;1624;0.15197764870047328
2019-10;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;1147;4438;0.20548312997822246
2019-10;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;1000;5738;0.14850200566911304
2019-10;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;1022;3132;0.2460476799938872
2019-10;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2950;8718;0.2528668987708091
2019-10;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;4063;26501;0.1329555084527228
2019-10;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;5121;19125;0.21120720321026462
2019-11;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;695;2000;0.2579190616146604
2019-11;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946, -8.6937515;Grupo C;1379;5579;0.19820281288884567
2019-11;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;2566;5407;0.3218412425431289
2019-11;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;946;3216;0.22743035616678578
2019-11;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2571;6339;0.28856575946930446
2019-11;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;3428;25046;0.12041282222236172
2019-11;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;524;1305;0.28652226546737275
2019-11;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;29;316;0.0851517129995532
2019-12;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1583;4991;0.2408517927046103
2019-12;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1881;5634;0.2502875398045222
2019-12;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;428;2364;0.15327465314038471
2019-12;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;2333;5909;0.2830526194413197
2019-12;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;4634;17965;0.2050566599284918
2020-01;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;1365;6311;0.1779087821770659
2020-01;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;903;2431;0.2710065887626973
2020-01;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;1717;6084;0.22016642751510426
2020-01;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;3111;7521;0.2926321599898781
2020-01;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;928;2934;0.24029674178872074
2020-01;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946, -8.6937515;Grupo C;1541;7674;0.16724435752946243
2020-01;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;2822;11131;0.20226356351504285
2020-01;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;3091;10745;0.22340607494373932
2020-01;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2743;13080;0.173356826529593
2020-01;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;4158;28219;0.12844433696349536
2020-01;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;25;337;0.06902899217671417
2020-01;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;16;383;0.040033361134278564
2020-02;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;958;3421;0.2187910268850962
2020-02;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;1055;7065;0.12994603723298975
2020-02;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;3184;8655;0.2689831303587923
2020-02;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;2489;9816;0.20230179865203068
2020-02;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;1272;4617;0.2160504306982121
2020-02;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;75;315;0.19206145966709348
2020-02;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;21;292;0.06709265175718841
2020-03;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;61;342;0.15186929643803357
2020-03;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;755;2644;0.22228031336541054
2020-03;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;805;2028;0.28427470591076803
2020-03;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;775;3903;0.16572188948651267
2020-03;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;758;2453;0.23611031307516508
2020-03;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;805;3349;0.19387892524449057
2020-03;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;977;3541;0.21622373986938312
2020-03;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;2104;9847;0.17609791030267294
2020-03;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;7111;23394;0.2331213339347011
2020-03;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;3444;25905;0.11734496137236992
2020-03;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;2667;13753;0.1624704920126498
2020-03;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;420;1769;0.1920467149474783
2020-03;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;1112;4330;0.20431463338083133
2020-04;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;1761;6809;0.2055447066682019
2020-04;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;1541;4429;0.25811241003010604
2020-04;LVT;Centro Hospitalar do Medio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;1225;4277;0.22270828889580171
2020-04;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;400;2270;0.14989981567867913
2020-04;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;1886;6503;0.2248152611505455
2020-04;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;1843;8284;0.18199805276345
2020-04;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;2892;16288;0.15080156758276153
2020-04;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;774;3490;0.18165476411453801
2020-04;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;14;175;0.07400881057268735
2020-05;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;708;2485;0.22180521883670976
2020-05;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;599;2018;0.22903442882345454
2020-05;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;1744;6014;0.22486070870893352
2020-05;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;332;2071;0.13829779332575726
2020-05;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;2189;6266;0.2589199729676457
2020-05;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;44;371;0.10693902072694503
2020-06;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;102;175;0.36812963635974927
2020-06;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;685;1656;0.29272061028354185
2020-06;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;124;1767;0.06577920443101704
2020-06;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;1135;2598;0.3041448797778175
2020-06;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;2230;4019;0.3569059542412148
2020-06;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2013;6886;0.2262145455203714
2020-06;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946, -8.6937515;Grupo C;1382;5080;0.2139160038754047
2020-06;Norte;Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;2202;5561;0.28370104766537024
2020-06;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;2301;5622;0.2904689761572303
2020-06;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;881;3315;0.20998093790067276
2020-06;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;46;130;0.2623589468027942
2020-07;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;86;266;0.24497165226781856
2020-07;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;438;1315;0.24985407702018506
2020-07;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;974;3903;0.1997876624565257
2020-07;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;1177;3093;0.275680504627752
2020-07;LVT;Hospital distrital de Santarem, E.P.E.;39.2410946, -8.6937515;Grupo C;1557;5581;0.21815418991034624
2020-07;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;2714;6703;0.2882233742527497
2020-07;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;2633;8780;0.2307460468905679
2020-07;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;2336;9515;0.19717077945942932
2020-07;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;750;2896;0.20589052384001025
2020-08;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;71;110;0.3927658019729631
2020-08;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;45;242;0.15748194014447864
2020-08;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;590;1592;0.27049003793988685
2020-08;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;193;1926;0.09125923596918735
2020-08;Centro;Centro Hospitalar de Leiria, E.P.E.;39.7414812, -8.7982706;Grupo C;2508;8385;0.230261287396757
2020-08;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;2763;5625;0.3294476202153583
2020-08;Alentejo;Hospital Espirito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;1076;3135;0.25555653969953024
2020-08;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;4108;15949;0.20484301772415073
2020-08;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;942;3884;0.19521465250612896
2020-09;Norte;Centro Hospitalar do Medio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;815;2936;0.21745420856084957
