Período,ARS,Hospital,Localização Geográfica,DDD Consumidas de Cefalosporinas,DDD Consumidas dos Restantes Antibióticos
2020-04,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",774,3490
2020-04,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",14,175
2020-05,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",708,2485
2020-05,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",599,2018
2020-05,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",1744,6014
2020-05,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",332,2071
2020-05,Norte,"Hospital de Braga, E.P.E.","41.567781, -8.399268",2189,6266
2020-05,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",44,371
2020-06,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",102,175
2020-06,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",685,1656
2020-06,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",124,1767
2020-06,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1135,2598
2020-06,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",2230,4019
2020-06,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2013,6886
2020-06,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1382,5080
2020-06,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",2202,5561
2020-06,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2301,5622
2020-06,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",881,3315
2020-06,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",46,130
2020-07,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",86,266
2020-07,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",438,1315
2020-07,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",974,3903
2020-07,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1177,3093
2020-07,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1557,5581
2020-07,Norte,"Hospital de Braga, E.P.E.","41.567781, -8.399268",2714,6703
2020-07,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",2633,8780
2020-07,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2336,9515
2020-07,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",750,2896
2020-08,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",71,110
2020-08,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",45,242
2020-08,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",590,1592
2020-08,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",193,1926
2020-08,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2508,8385
2020-08,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",2763,5625
2020-08,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1076,3135
2020-08,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4108,15949
2020-08,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",942,3884
2020-09,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",815,2936
2020-09,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",498,1358
2020-09,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",605,1739
2020-09,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",788,1850
2020-09,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1604,5125
2020-09,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",511,2557
2020-09,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",822,2470
2020-09,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2956,6681
2020-09,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",7088,21806
2020-09,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2419,11131
2020-09,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",551,1660
2020-09,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",46,195
2020-10,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",132,427
2020-10,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",1071,2912
2020-10,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",613,1843
2020-10,Norte,"Centro Hospitalar de Entre Douro e Vouga, E.P.E.","40.9293884, -8.5458794",2056,4977
2020-10,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2278,6933
2020-10,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",2011,4976
2020-10,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2230,5094
2020-10,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",948,2730
2020-10,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",2298,6246
2020-10,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",3554,6013
2020-10,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",2764,8913
2020-10,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",23,294
2020-11,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",87,167
2020-11,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",173,260
2020-11,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,0
2020-11,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",1084,4169
2020-11,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",1690,3916
2020-11,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",1974,3889
2020-11,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",786,3085
2020-11,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1912,5282
2020-11,Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.","41.1794456, -8.6745115",1318,5401
2020-11,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1083,3619
2020-11,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",2853,8103
2020-11,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6914,20674
2020-11,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",1078,3963
2020-12,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,6
2020-12,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1256,5389
2020-12,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",595,1521
2020-12,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1359,4337
2020-12,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",2122,4937
2020-12,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2169,8339
2020-12,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",1870,4186
2020-12,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1990,6068
2020-12,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1105,3394
2020-12,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2425,8362
2020-12,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",67,220
2021-01,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1073,5867
2021-01,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",666,1120
2021-01,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",281,2184
2021-01,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",970,3751
2021-01,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1647,6081
2021-01,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2886,7297
2021-01,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2722,6439
2021-01,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",3973,17488
2021-02,Centro,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,"40.297919, -8.7707806",32,188
2021-02,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",720,2510
2021-02,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1016,2897
2021-02,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2140,10514
2021-03,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",228,314
2021-03,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",1,0
2021-03,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",513,1293
2021-03,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1220,3114
2021-03,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2200,5560
2021-03,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1267,4757
2021-03,Norte,"Hospital de Braga, E.P.E.","41.567781, -8.399268",3029,7213
2021-03,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1183,3366
2021-03,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2529,7959
2021-03,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",2825,9803
2021-03,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",423,1189
2021-03,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1159,4026
2021-03,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",19,231
2021-04,Centro,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,"40.297919, -8.7707806",91,185
2021-04,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",122,336
2021-04,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1354,4315
2021-04,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",547,1406
2021-04,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1593,5259
2021-04,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1565,4892
2021-04,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",381,2341
2021-04,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3015,9526
2021-04,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",3883,16401
2021-04,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1134,3954
2021-05,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1144,3706
2021-05,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",1111,5280
2021-05,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1659,4559
2021-05,Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.","41.1794456, -8.6745115",1362,4693
2021-05,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",2685,6385
2021-05,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2593,5293
2021-05,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2362,8691
2021-05,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4783,18044
2021-05,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1383,4504
2021-06,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",48,221
2021-06,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",581,1591
2021-06,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",723,1803
2021-06,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1132,4436
2021-06,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",24,188
2021-07,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1425,5042
2021-07,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",665,1209
2021-07,Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.","41.7056054, -8.8252713",2745,5544
2021-07,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4471,19718
2021-07,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",25,169
2021-08,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",49,209
2021-08,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,5
2021-08,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",1097,2776
2021-08,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",1278,5444
2021-08,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2186,6800
2021-08,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1510,4593
2021-08,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",1718,5068
2021-08,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",858,2141
2021-08,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",3064,7805
2021-08,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6867,20275
2021-08,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4593,17673
2021-08,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",1013,3985
2021-09,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",155,291
2021-09,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",231,1954
2021-09,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1432,3678
2021-09,Norte,"Unidade Local de Saúde do Alto Minho, E.P.E.","41.7056054, -8.8252713",2869,5283
2021-09,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",763,2423
2021-09,Centro,"Centro Hospitalar Tondela-Viseu, E.P.E.","40.516364, -8.0827433",2496,6730
2021-09,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",5196,9397
2021-09,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1246,2955
2021-09,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",2627,9956
2021-09,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4353,17616
2021-09,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",944,4183
2021-10,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",102,190
2021-10,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",3,2
2021-10,Alentejo,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.","38.0162314, -8.6956768",211,1935
2021-10,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1504,5592
2021-10,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2987,6664
2021-10,LVT,"Hospital de Vila Franca de Xira, E.P.E.","38.952565, -8.992398",1116,4829
2021-10,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1648,6028
2021-10,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1230,3307
2021-10,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2576,9425
2021-10,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",7282,21759
2021-10,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",3949,23458
2021-10,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",1094,4781
2021-11,Norte,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.","41.3828711, -8.7589945",639,1664
2021-11,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",1291,4076
2021-11,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2241,7877
2021-11,Centro,"Centro Hospitalar do Baixo Vouga, E.P.E.","40.6362453, -8.6543716",2316,5192
2021-11,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2783,5739
2021-11,Norte,"Unidade Local de Saúde de Matosinhos, E.P.E.","41.1794456, -8.6745115",1530,5426
2021-11,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",3093,11498
2021-12,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,0
2021-12,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",1012,3222
2021-12,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1519,6500
2021-12,Centro,"Unidade Local de Saúde de Castelo Branco, E.P.E.","39.8212263, -7.4981271",740,2813
2021-12,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",1270,6059
2021-12,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1467,5622
2021-12,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2889,5415
2021-12,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1606,5260
2021-12,Norte,"Hospital de Braga, E.P.E.","41.567781, -8.399268",3820,9387
2021-12,LVT,"Centro Hospitalar de Lisboa Ocidental, E.P.E.","38.708454, -9.216985",2289,11122
2021-12,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",6930,22588
2021-12,LVT,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.","38.7500861, -9.1616116",3332,21715
2021-12,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2887,13195
2021-12,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",319,988
2021-12,Norte,"Instituto Português de Oncologia, E.P.E. - Porto","41.1785642, -8.6062881",932,4398
2021-12,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",123,917
2022-01,Centro,Hospital Arcebispo Joao Crisóstomo - Cantanhede,"40.3470015, -8.5933462",55,156
2022-01,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1217,5507
2022-01,LVT,"Hospital de Vila Franca de Xira, E.P.E.","38.952565, -8.992398",1097,4745
2022-01,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",559,2832
2022-01,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",550,2424
2022-01,Norte,"Centro Hospitalar de Trás os Montes e Alto Douro, E.P.E.","41.3031784, -7.7515252",2412,6691
2022-01,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",2978,7852
2022-01,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2752,11897
2022-01,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1156,4011
2022-01,LVT,Centro Hospitalar Psiquiátrico de Lisboa,"38.7569771, -9.1460705",47,210
2022-01,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",17,124
2022-02,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1215,5753
2022-02,Norte,"Hospital de Santa Maria Maior, E.P.E. - Barcelos","41.5324234, -8.6171561",702,1623
2022-02,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",1096,4867
2022-02,LVT,"Centro Hospitalar de Setúbal, E.P.E.","38.5283754, -8.8818638",1374,5166
2022-02,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",1655,5914
2022-02,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2329,10176
2022-02,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3046,11391
2022-02,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4534,16831
2022-02,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",333,725
2022-03,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",1,0
2022-03,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1474,6410
2022-03,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",810,1844
2022-03,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1428,4269
2022-03,Norte,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.","41.4387173, -8.3086907",2040,5831
2022-03,LVT,"Hospital distrital de Santarem, E.P.E.","39.2410946, -8.6937515",1761,6079
2022-03,Alentejo,"Unidade Local de Saúde do Norte Alentejano, E.P.E.","39.3003425, -7.4263845",767,2376
2022-03,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4860,18026
2022-03,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",381,881
2022-04,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",113,313
2022-04,LVT,Instituto de Oftalmologia Dr. Gama Pinto,"38.7218793, -9.144249",0,0
2022-04,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1680,4315
2022-04,Centro,"Centro Hospitalar de Leiria, E.P.E.","39.7414812, -8.7982706",2572,7847
2022-04,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2717,6035
2022-04,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",4200,8995
2022-04,Norte,"Centro Hospitalar Universitário do Porto, E.P.E.","41.1472498, -8.6172617",2491,11228
2022-04,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",349,1088
2022-04,LVT,"Instituto Português de Oncologia, E.P.E. - Lisboa","38.7396768, -9.1634516",1278,4708
2022-05,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",1061,3367
2022-05,Centro,"Hospital Distrital Figueira da Foz, E.P.E.","40.117897, -8.8586755",941,2061
2022-05,Centro,"Unidade Local de Saúde da Guarda, E.P.E.","40.5309916, -7.2734793",1197,3968
2022-05,LVT,"Centro Hospitalar do Medio Tejo, E.P.E.","39.478072, -8.5404429",2141,5837
2022-05,Centro,"Centro Hospitalar Universitário Cova da Beira, E.P.E.","40.2804158, -7.4922407",972,2773
2022-05,Norte,"Hospital de Braga, E.P.E.","41.567781, -8.399268",3665,8820
2022-05,LVT,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.","38.7422257, -9.2264834",3374,11150
2022-05,Centro,"Centro Hospitalar e Universitário de Coimbra, E.P.E.","40.2191523, -8.4098211",7934,22283
2022-05,Norte,"Hospital de Magalhaes de Lemos, E.P.E.","41.1764649, -8.6649823",8,279
2022-06,Centro,Hospital Dr. Francisco Zagalo  - Ovar,"40.8571967, -8.6318023",141,400
2022-06,Norte,"Centro Hospitalar do Medio Ave, E.P.E.","41.3423984, -8.4802503",883,3172
2022-06,LVT,"Centro Hospitalar do Oeste, E.P.E.","39.4054629, -9.1258493",1587,6583
2022-06,Norte,"Unidade Local de Saúde do Nordeste, E.P.E.","41.8056532, -6.7888197",1517,4227
2022-06,LVT,"Centro Hospitalar Barreiro Montijo, E.P.E.","38.6554005, -9.0592392",1058,5566
2022-06,Norte,"Centro Hospitalar do Tâmega e Sousa, E.P.E.","41.2494561, -8.264901",2655,6312
2022-06,Alentejo,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.","38.014123, -7.8721227",556,2140
2022-06,Norte,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.","41.1094138, -8.5972617",3472,8336
2022-06,Algarve,"Centro Hospitalar Universitário do Algarve, E.P.E.","37.0238973, -7.9281554",4836,9834
2022-06,Alentejo,"Hospital Espirito Santo, E.P.E. - Evora","38.5684861, -7.9032848",1220,3785
2022-06,LVT,"Hospital Garcia da Orta, E.P.E.","38.6658713, -9.1822554",2344,10617
2022-06,Norte,"Centro Hospitalar Universitário de São João, E.P.E.","41.1831056, -8.6010558",4842,17858
2022-06,Centro,"Instituto Português de Oncologia, E.P.E. - Coimbra","40.2162514, -8.4103814",323,861
