Período,Hospital,Região_x,Consumo,Sobra,Região_y,nr consultas,Região,Urgências Geral,Urgências Pediátricas,Urgência Obstetricia,Urgência Psiquiátrica,Total Urgências
2023-01,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,532,4619,,,,,,,,
2023-02,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,8,,,,,,,,
2023-02,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,101,2871,,,,,,,,
2023-02,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,143,3549,,,,,,,,
2023-02,Hospital Beatriz Ângelo E.P.E.,LVT,362,7365,,,,,,,,
2023-02,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,245,7656,,,,,,,,
2023-02,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,452,9044,,,,,,,,
2023-02,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro,553,8839,,,,,,,,
2023-02,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.",LVT,952,24240,,,,,,,,
2023-02,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,925,22188,,,,,,,,
2023-02,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,516,4560,,,,,,,,
2023-03,Hospital Dr. Francisco Zagalo  - Ovar,Centro,27,446,,,,,,,,
2023-03,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",Alentejo,65,2907,,,,,,,,
2023-03,"Centro Hospitalar de Setúbal, E.P.E.",LVT,243,7163,,,,,,,,
2023-03,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,234,8425,,,,,,,,
2023-03,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,171,3993,,,,,,,,
2023-03,Hospital Beatriz Ângelo E.P.E.,LVT,506,8080,,,,,,,,
2023-03,"Hospital de Vila Franca de Xira, E.P.E.",LVT,253,6692,,,,,,,,
2023-03,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,453,8991,,,,,,,,
2023-03,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,465,11718,,,,,,,,
2023-03,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro,702,9712,,,,,,,,
2023-03,"Hospital de Braga, E.P.E.",Norte,866,14318,,,,,,,,
2023-03,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,154,5801,,,,,,,,
2023-03,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,550,16797,,,,,,,,
2023-03,Centro Hospitalar Psiquiátrico de Lisboa,LVT,0,480,Região de Saúde LVT,12820.0,,,,,,
2023-04,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,96,3038,,,,,,,,
2023-04,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,260,7949,,,,,,,,
2023-04,"Hospital de Vila Franca de Xira, E.P.E.",LVT,303,6137,,,,,,,,
2023-04,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.",Norte,456,13445,,,,,,,,
2023-04,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro,568,8815,,,,,,,,
2023-04,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,173,4712,,,,,,,,
2023-04,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,401,14472,,,,,,,,
2023-04,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",LVT,900,13807,,,,,,,,
2023-05,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,172,,,,,,,,
2023-05,Hospital Dr. Francisco Zagalo  - Ovar,Centro,32,430,,,,,,,,
2023-05,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,3,,,,,,,,
2023-05,"Centro Hospitalar de Setúbal, E.P.E.",LVT,207,7148,,,,,,,,
2023-05,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,362,8959,,,,,,,,
2023-05,"Hospital de Vila Franca de Xira, E.P.E.",LVT,256,6322,,,,,,,,
2023-05,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,474,7970,,,,,,,,
2023-05,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,186,3103,,,,,,,,
2023-05,"Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.",Norte,511,13714,,,,,,,,
2023-05,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,754,14533,,,,,,,,
2023-05,"Hospital Prof. Doutor Fernando Fonseca, E.P.E.",LVT,676,13654,,,,,,,,
2023-05,"Centro Hospitalar Universitário de São João, E.P.E.",Norte,1207,25488,,,,,,,,
2023-06,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,9,,,,,,,,
2023-06,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,604,6508,,,,,,,,
2023-06,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,190,6980,,,,,,,,
2023-06,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,846,16279,,,,,,,,
2023-06,"Centro Hospitalar Universitário de Santo António, E.P.E.",Norte,1021,13657,,,,,,,,
2023-06,"Instituto Português de Oncologia, E.P.E. - Coimbra",Centro,68,1201,,,,,,,,
2023-07,Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais,Centro,6,332,,,,,,,,
2023-07,"Unidade Local de Saúde da Guarda, E.P.E.",Centro,181,4980,,,,,,,,
2023-07,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,126,3230,,,,,,,,
2023-07,"Centro Hospitalar de Setúbal, E.P.E.",LVT,213,6322,,,,,,,,
2023-07,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,275,3178,,,,,,,,
2023-07,"Centro Hospitalar Tondela-Viseu, E.P.E.",Centro,666,8310,,,,,,,,
2023-07,"Hospital de Braga, E.P.E.",Norte,947,13653,,,,,,,,
2023-07,"Hospital Espírito Santo, E.P.E. - Evora",Alentejo,265,7260,,,,,,,,
2023-07,"Centro Hospitalar Universitário de Lisboa Norte, E.P.E.",LVT,1706,25133,,,,,,,,
2023-07,"Centro Hospitalar Universitário de Santo António, E.P.E.",Norte,1032,12092,,,,,,,,
2023-07,"Instituto Português de Oncologia, E.P.E. - Porto",Norte,724,5137,,,,,,,,
2023-08,"Hospital Distrital Figueira da Foz, E.P.E.",Centro,101,2344,,,,,,,,
2023-08,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,119,3040,,,,,,,,
2023-08,"Centro Hospitalar de Setúbal, E.P.E.",LVT,95,6139,,,,,,,,
2023-08,"Centro Hospitalar do Baixo Vouga, E.P.E.",Centro,213,7179,,,,,,,,
2023-08,"Centro Hospitalar do Médio Tejo, E.P.E.",LVT,487,7421,,,,,,,,
2023-08,Hospital Beatriz Ângelo E.P.E.,LVT,431,8532,,,,,,,,
2023-08,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",Alentejo,10,3393,,,,,,,,
2023-08,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,539,11525,,,,,,,,
2023-08,"Centro Hospitalar Universitário Lisboa Central, E.P.E.",LVT,1503,23893,,,,,,,,
2023-08,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,689,5323,,,,,,,,
2023-09,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,7,,,,,,,,
2023-09,"Unidade Local de Saúde de Castelo Branco, E.P.E.",Centro,164,2704,,,,,,,,
2023-09,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,243,7712,,,,,,,,
2023-09,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",Alentejo,51,3202,,,,,,,,
2023-09,"Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.",Norte,553,9008,,,,,,,,
2023-09,"Centro Hospitalar de Lisboa Ocidental, E.P.E.",LVT,1100,11572,,,,,,,,
2023-09,"Centro Hospitalar Universitário de Santo António, E.P.E.",Norte,1258,12800,,,,,,,,
2023-10,Hospital Arcebispo Joao Crisóstomo - Cantanhede,Centro,0,239,,,,,,,,
2023-10,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,531,6009,,,,,,,,
2023-10,"Centro Hospitalar do Tâmega e Sousa, E.P.E.",Norte,540,8861,,,,,,,,
2023-10,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,172,3649,,,,,,,,
2023-10,Hospital Beatriz Ângelo E.P.E.,LVT,404,6823,,,,,,,,
2023-10,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,510,7585,,,,,,,,
2023-10,"Instituto Português de Oncologia, E.P.E. - Porto",Norte,758,5289,,,,,,,,
2023-10,Centro Hospitalar Psiquiátrico de Lisboa,LVT,0,264,Região de Saúde LVT,39111.0,,,,,,
2023-11,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,13,,,,,,,,
2023-11,"Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.",Norte,154,2325,,,,,,,,
2023-11,"Unidade Local de Saúde do Nordeste, E.P.E.",Norte,169,6171,,,,,,,,
2023-11,"Centro Hospitalar Universitário Cova da Beira, E.P.E.",Centro,154,3233,,,,,,,,
2023-11,"Unidade Local de Saúde do Norte Alentejano, E.P.E.",Alentejo,206,2650,,,,,,,,
2023-11,"Hospital de Braga, E.P.E.",Norte,1044,13691,,,,,,,,
2023-11,"Centro Hospitalar e Universitário de Coimbra, E.P.E.",Centro,2081,32635,,,,,,,,
2023-12,Hospital Dr. Francisco Zagalo  - Ovar,Centro,8,415,,,,,,,,
2023-12,Instituto de Oftalmologia Dr. Gama Pinto,LVT,0,3,,,,,,,,
2023-12,"Centro Hospitalar Barreiro Montijo, E.P.E.",LVT,485,6570,,,,,,,,
2023-12,"Centro Hospitalar de Setúbal, E.P.E.",LVT,248,8523,,,,,,,,
2023-12,Hospital Beatriz Ângelo E.P.E.,LVT,374,8229,,,,,,,,
2023-12,"Hospital da Senhora da Oliveira Guimaraes, E.P.E.",Norte,241,9017,,,,,,,,
2023-12,"Unidade Local de Saúde do Alto Minho, E.P.E.",Norte,459,8413,,,,,,,,
2023-12,"Centro Hospitalar Universitário do Algarve, E.P.E.",Algarve,1237,16165,,,,,,,,
2023-12,"Instituto Português de Oncologia, E.P.E. - Lisboa",LVT,632,5287,,,,,,,,
2024-01,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",,95,4030,,,,,,,,
2024-01,"Unidade Local de Saúde do Estuário do Tejo, E. P. E.",,219,6788,,,,,,,,
2024-01,Unidade Local de Saúde de Amadora/Sintra E. P. E.,,714,15356,,,,,,,,
2024-01,"Unidade Local de Saúde de Gaia/Espinho, E.P.E.",,556,15633,,,,,,,,
2024-01,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.",,499,13503,,,,,,,,
2024-01,"Unidade Local de Saúde de Santa Maria, E. P. E.",,1311,27920,,,,,,,,
2024-02,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",,80,2784,,,,,,,,
2024-02,"Unidade Local de Saúde do Nordeste, E.P.E.",,175,5388,,,,,,,,
2024-02,"Unidade Local de Saúde da Lezíria, E. P. E.",,907,7833,,,,,,,,
2024-02,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",,279,6488,,,,,,,,
2024-02,"Unidade Local de Saúde do Alto Alentejo, E.P.E.",,297,3647,,,,,,,,
2024-02,"Unidade Local de Saúde do Alto Ave, E. P. E.",,324,7875,,,,,,,,
2024-02,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",,56,5029,,,,,,,,
2024-02,Unidade Local de Saúde de Amadora/Sintra E. P. E.,,662,12119,,,,,,,,
2024-02,"Unidade Local de Saúde de Braga, E. P. E.",,559,12675,,,,,,,,
2024-02,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,677,8507,,,,,,,,
2024-03,"Unidade Local de Saúde do Oeste, E. P. E.",,618,7307,,,,,,,,
2024-03,"Unidade Local de Saúde da Lezíria, E. P. E.",,1077,7985,,,,,,,,
2024-03,"Unidade Local de Saúde da Região de Leiria, E. P. E.",,587,11678,,,,,,,,
2024-03,"Unidade Local de Saúde de Matosinhos, E.P.E.",,506,8380,,,,,,,,
2024-03,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,763,9292,,,,,,,,
2024-03,"Unidade Local de Saúde do Algarve, E. P. E.",,910,15672,,,,,,,,
2024-03,"Unidade Local de Saúde de Santa Maria, E. P. E.",,1412,26546,,,,,,,,
2024-03,"Unidade Local de Saúde de Santo António, E. P. E.",,1325,16300,,,,,,,,
2024-03,"Unidade Local de Saúde de São João, E. P. E.",,1469,24941,,,,,,,,
2024-03,"Instituto Português de Oncologia, E.P.E. - Coimbra",,85,1387,,,,,,,,
2024-04,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",,56,2923,,,,,,,,
2024-04,"Unidade Local de Saúde do Médio Ave, E.P E.",,158,4185,,,,,,,,
2024-04,"Unidade Local de Saúde Póvoa de Varzim/Vila do Conde, E. P. E.",,117,2872,,,,,,,,
2024-04,"Unidade Local de Saúde da Arrábida, E. P. E.",,246,7748,,,,,,,,
2024-04,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",,506,7244,,,,,,,,
2024-04,"Unidade Local de Saúde do Alto Minho, E.P.E.",,487,9556,,,,,,,,
2024-04,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",,71,3843,,,,,,,,
2024-04,"Unidade Local de Saúde do Estuário do Tejo, E. P. E.",,321,6091,,,,,,,,
2024-04,"Unidade Local de Saúde de Coimbra, E. P. E.",,2067,31135,,,,,,,,
2024-04,"Unidade Local de Saúde de Santa Maria, E. P. E.",,1277,29398,,,,,,,,
2024-04,"Unidade Local de Saúde de São João, E. P. E.",,1490,26357,,,,,,,,
2024-05,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",,82,2921,,,,,,,,
2024-05,"Unidade Local de Saúde do Nordeste, E.P.E.",,193,6690,,,,,,,,
2024-05,"Unidade Local de Saúde do Oeste, E. P. E.",,600,7765,,,,,,,,
2024-05,"Unidade Local de Saúde da Lezíria, E. P. E.",,1083,8258,,,,,,,,
2024-05,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",,321,6819,,,,,,,,
2024-05,"Unidade Local de Saúde do Alto Ave, E. P. E.",,287,8213,,,,,,,,
2024-05,"Unidade Local de Saúde do Arco Ribeirinho, E. P. E.",,630,6766,,,,,,,,
2024-05,"Unidade Local de Saúde de Braga, E. P. E.",,940,13231,,,,,,,,
2024-05,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,685,9982,,,,,,,,
2024-05,"Unidade Local de Saúde de Santa Maria, E. P. E.",,1489,27214,,,,,,,,
2024-05,"Unidade Local de Saúde de Santo António, E. P. E.",,1206,14996,,,,,,,,
2024-05,"Unidade Local de Saúde de São José, E. P. E.",,1249,24904,,,,,,,,
2024-05,"Instituto Português de Oncologia, E.P.E. - Lisboa",,799,5855,,,,,,,,
2024-06,"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",,42,2511,,,,,,,,
2024-06,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",,196,3220,,,,,,,,
2024-06,"Unidade Local de Saúde da Arrábida, E. P. E.",,271,7166,,,,,,,,
2024-06,"Unidade Local de Saúde do Alto Ave, E. P. E.",,171,7581,,,,,,,,
2024-06,"Unidade Local de Saúde do Alto Minho, E.P.E.",,508,8048,,,,,,,,
2024-06,Unidade Local de Saúde de Amadora/Sintra E. P. E.,,958,14956,,,,,,,,
2024-06,"Unidade Local de Saúde de Santa Maria, E. P. E.",,1509,26342,,,,,,,,
2024-07,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",,138,2434,,,,,,,,
2024-07,"Unidade Local de Saúde do Nordeste, E.P.E.",,169,5642,,,,,,,,
2024-07,"Unidade Local de Saúde da Lezíria, E. P. E.",,828,8090,,,,,,,,
2024-07,"Unidade Local de Saúde da Região de Aveiro, E. P. E.",,305,8283,,,,,,,,
2024-07,"Unidade Local de Saúde do Alto Alentejo, E.P.E.",,427,4038,,,,,,,,
2024-07,"Unidade Local de Saúde do Alto Ave, E. P. E.",,222,7913,,,,,,,,
2024-07,"Unidade Local de Saúde do Médio Tejo, E.P.E.",,516,7371,,,,,,,,
2024-07,"Unidade Local de Saúde do Tâmega e Sousa, E. P. E.",,344,10152,,,,,,,,
2024-07,"Unidade Local de Saúde de Almada-Seixal, E. P. E.",,521,12321,,,,,,,,
2024-07,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.",,394,11125,,,,,,,,
2024-07,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,756,8817,,,,,,,,
2024-08,"Unidade Local de Saúde do Médio Ave, E.P E.",,297,4076,,,,,,,,
2024-08,"Unidade Local de Saúde da Arrábida, E. P. E.",,208,6267,,,,,,,,
2024-08,"Unidade Local de Saúde da Lezíria, E. P. E.",,879,7579,,,,,,,,
2024-08,"Unidade Local de Saúde de Matosinhos, E.P.E.",,439,7156,,,,,,,,
2024-08,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",,66,3346,,,,,,,,
2024-08,"Unidade Local de Saúde de Braga, E. P. E.",,941,15055,,,,,,,,
2024-08,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,827,8442,,,,,,,,
2024-08,"Unidade Local de Saúde do Alentejo Central, E. P. E.",,182,4688,,,,,,,,
2024-08,"Unidade Local de Saúde de Lisboa Ocidental, E. P. E.",,991,11233,,,,,,,,
2024-09,"Unidade Local de Saúde do Médio Ave, E.P E.",,187,3282,,,,,,,,
2024-09,"Unidade Local de Saúde do Oeste, E. P. E.",,624,6351,,,,,,,,
2024-09,"Unidade Local de Saúde da Arrábida, E. P. E.",,325,6801,,,,,,,,
2024-09,"Unidade Local de Saúde da Região de Aveiro, E. P. E.",,316,6856,,,,,,,,
2024-09,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",,245,5830,,,,,,,,
2024-09,"Unidade Local de Saúde do Alto Ave, E. P. E.",,242,7648,,,,,,,,
2024-09,"Unidade Local de Saúde do Arco Ribeirinho, E. P. E.",,394,5455,,,,,,,,
2024-09,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",,46,2561,,,,,,,,
2024-09,"Unidade Local de Saúde do Alentejo Central, E. P. E.",,226,4160,,,,,,,,
2024-09,"Unidade Local de Saúde do Algarve, E. P. E.",,1088,15743,,,,,,,,
2024-10,"Unidade Local de Saúde da Guarda, E.P.E.",,261,4843,,,,,,,,
2024-10,"Unidade Local de Saúde do Médio Ave, E.P E.",,199,4270,,,,,,,,
2024-10,"Unidade Local de Saúde da Região de Leiria, E. P. E.",,573,8982,,,,,,,,
2024-10,"Unidade Local de Saúde do Arco Ribeirinho, E. P. E.",,405,6196,,,,,,,,
2024-10,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.",,841,11977,,,,,,,,
2024-10,"Unidade Local de Saúde de São João, E. P. E.",,1932,27025,,,,,,,,
2024-10,"Instituto Português de Oncologia, E.P.E. - Lisboa",,594,4686,,,,,,,,
2024-10,"Instituto Português de Oncologia, E.P.E. - Porto",,723,6199,,,,,,,,
2024-11,"Unidade Local de Saúde da Guarda, E.P.E.",,208,5019,,,,,,,,
2024-11,"Unidade Local de Saúde da Arrábida, E. P. E.",,207,6833,,,,,,,,
2024-11,"Unidade Local de Saúde da Lezíria, E. P. E.",,866,8020,,,,,,,,
2024-11,"Unidade Local de Saúde do Alto Alentejo, E.P.E.",,306,5315,,,,,,,,
2024-11,"Unidade Local de Saúde do Baixo Alentejo, E.P.E.",,49,2374,,,,,,,,
2024-11,"Unidade Local de Saúde de Almada-Seixal, E. P. E.",,469,11266,,,,,,,,
2024-11,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.",,466,11253,,,,,,,,
2024-11,"Unidade Local de Saúde do Algarve, E. P. E.",,899,14782,,,,,,,,
2024-11,"Instituto Português de Oncologia, E.P.E. - Porto",,687,5187,,,,,,,,
2024-12,"Unidade Local de Saúde do Baixo Mondego, E. P. E.",,109,2553,,,,,,,,
2024-12,"Unidade Local de Saúde da Arrábida, E. P. E.",,274,7053,,,,,,,,
2024-12,"Unidade Local de Saúde da Cova da Beira, E. P. E.",,225,3834,,,,,,,,
2024-12,"Unidade Local de Saúde do Alto Ave, E. P. E.",,218,8173,,,,,,,,
2024-12,"Unidade Local de Saúde do Alto Minho, E.P.E.",,601,8264,,,,,,,,
2024-12,"Unidade Local de Saúde do Estuário do Tejo, E. P. E.",,223,6300,,,,,,,,
2024-12,"Unidade Local de Saúde de Almada-Seixal, E. P. E.",,495,11676,,,,,,,,
2024-12,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.",,349,12838,,,,,,,,
2024-12,"Unidade Local de Saúde do Alentejo Central, E. P. E.",,252,4557,,,,,,,,
2025-01,"Unidade Local de Saúde do Médio Ave, E.P E.",,134,5534,,,,,,,,
2025-01,"Unidade Local de Saúde do Alto Ave, E. P. E.",,295,9915,,,,,,,,
2025-01,"Unidade Local de Saúde do Alto Minho, E.P.E.",,476,8940,,,,,,,,
2025-01,"Unidade Local de Saúde do Estuário do Tejo, E. P. E.",,300,7365,,,,,,,,
2025-01,"Unidade Local de Saúde do Médio Tejo, E.P.E.",,350,9006,,,,,,,,
2025-01,"Unidade Local de Saúde de Braga, E. P. E.",,843,15916,,,,,,,,
2025-01,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,616,10688,,,,,,,,
2025-01,"Unidade Local de Saúde do Alentejo Central, E. P. E.",,165,4812,,,,,,,,
2025-01,"Unidade Local de Saúde de Coimbra, E. P. E.",,2227,31630,,,,,,,,
2025-01,"Instituto Português de Oncologia, E.P.E. - Lisboa",,767,6289,,,,,,,,
2025-01,"Instituto Português de Oncologia, E.P.E. - Porto",,634,5266,,,,,,,,
2025-02,"Unidade Local de Saúde da Guarda, E.P.E.",,189,5141,,,,,,,,
2025-02,"Unidade Local de Saúde de Castelo Branco, E.P.E.",,213,3301,,,,,,,,
2025-02,"Unidade Local de Saúde do Nordeste, E.P.E.",,151,6458,,,,,,,,
2025-02,"Unidade Local de Saúde Póvoa de Varzim/Vila do Conde, E. P. E.",,64,3188,,,,,,,,
2025-02,"Unidade Local de Saúde da Arrábida, E. P. E.",,259,6842,,,,,,,,
2025-02,"Unidade Local de Saúde de Entre Douro e Vouga, E. P. E.",,296,9789,,,,,,,,
2025-02,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",,350,7162,,,,,,,,
2025-02,"Unidade Local de Saúde do Alto Minho, E.P.E.",,531,8816,,,,,,,,
2025-02,"Unidade Local de Saúde do Arco Ribeirinho, E. P. E.",,553,6451,,,,,,,,
2025-02,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,719,8953,,,,,,,,
2025-02,"Unidade Local de Saúde do Alentejo Central, E. P. E.",,268,4491,,,,,,,,
2025-02,"Unidade Local de Saúde de Coimbra, E. P. E.",,2293,29182,,,,,,,,
2025-02,"Unidade Local de Saúde de Santo António, E. P. E.",,1400,14939,,,,,,,,
2025-02,"Unidade Local de Saúde de São José, E. P. E.",,888,21869,,,,,,,,
2025-02,"Instituto Português de Oncologia, E.P.E. - Coimbra",,115,1067,,,,,,,,
2025-03,"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",,48,3123,,,,,,,,
2025-03,"Unidade Local de Saúde de Castelo Branco, E.P.E.",,145,3250,,,,,,,,
2025-03,"Unidade Local de Saúde do Oeste, E. P. E.",,456,7824,,,,,,,,
2025-03,"Unidade Local de Saúde da Arrábida, E. P. E.",,252,7641,,,,,,,,
2025-03,"Unidade Local de Saúde da Lezíria, E. P. E.",,678,9007,,,,,,,,
2025-03,"Unidade Local de Saúde da Região de Aveiro, E. P. E.",,254,8665,,,,,,,,
2025-03,"Unidade Local de Saúde de Entre Douro e Vouga, E. P. E.",,452,10389,,,,,,,,
2025-03,"Unidade Local de Saúde de Loures-Odivelas, E. P. E.",,308,3770,,,,,,,,
2025-03,"Unidade Local de Saúde do Médio Tejo, E.P.E.",,384,8376,,,,,,,,
2025-03,"Unidade Local de Saúde de Coimbra, E. P. E.",,2477,30721,,,,,,,,
2025-03,"Instituto Português de Oncologia, E.P.E. - Lisboa",,572,5706,,,,,,,,
2025-04,"Unidade Local de Saúde da Cova da Beira, E. P. E.",,145,3579,,,,,,,,
2025-04,"Unidade Local de Saúde de Entre Douro e Vouga, E. P. E.",,588,8807,,,,,,,,
2025-04,"Unidade Local de Saúde do Alto Alentejo, E.P.E.",,390,3979,,,,,,,,
2025-04,Unidade Local de Saúde de Amadora/Sintra E. P. E.,,659,14780,,,,,,,,
2025-04,"Unidade Local de Saúde do Alentejo Central, E. P. E.",,349,5403,,,,,,,,
2025-05,"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",,100,3000,,,,,,,,
2025-05,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",,74,2622,,,,,,,,
2025-05,"Unidade Local de Saúde da Arrábida, E. P. E.",,253,7755,,,,,,,,
2025-05,"Unidade Local de Saúde de Entre Douro e Vouga, E. P. E.",,542,10298,,,,,,,,
2025-05,"Unidade Local de Saúde de Matosinhos, E.P.E.",,829,7719,,,,,,,,
2025-05,"Unidade Local de Saúde do Arco Ribeirinho, E. P. E.",,572,5587,,,,,,,,
2025-05,"Unidade Local de Saúde de Braga, E. P. E.",,905,13769,,,,,,,,
2025-05,"Unidade Local de Saúde de Gaia/Espinho, E.P.E.",,644,15337,,,,,,,,
2025-05,"Unidade Local de Saúde de Santo António, E. P. E.",,1048,16157,,,,,,,,
2025-05,"Instituto Português de Oncologia, E.P.E. - Coimbra",,110,1013,,,,,,,,
2025-05,"Instituto Português de Oncologia, E.P.E. - Porto",,632,5208,,,,,,,,
2025-06,"Unidade Local de Saúde da Guarda, E.P.E.",,180,4294,,,,,,,,
2025-06,"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",,84,3231,,,,,,,,
2025-06,"Unidade Local de Saúde do Litoral Alentejano, E.P.E.",,100,2870,,,,,,,,
2025-06,"Unidade Local de Saúde do Nordeste, E.P.E.",,126,5395,,,,,,,,
2025-06,"Unidade Local de Saúde da Arrábida, E. P. E.",,205,6640,,,,,,,,
2025-06,"Unidade Local de Saúde da Cova da Beira, E. P. E.",,190,3362,,,,,,,,
2025-06,"Unidade Local de Saúde da Lezíria, E. P. E.",,769,7558,,,,,,,,
2025-06,"Unidade Local de Saúde do Estuário do Tejo, E. P. E.",,232,6153,,,,,,,,
2025-06,Unidade Local de Saúde de Amadora/Sintra E. P. E.,,753,13623,,,,,,,,
2025-06,"Unidade Local de Saúde de Trás-os-Montes e Alto Douro, E. P. E.",,349,11072,,,,,,,,
2025-06,"Unidade Local de Saúde de Viseu Dão-Lafões, E. P. E.",,706,8655,,,,,,,,
2025-06,"Unidade Local de Saúde de Coimbra, E. P. E.",,2063,26978,,,,,,,,
2025-07,"Unidade Local de Saúde de Barcelos/Esposende, E. P. E.",,86,3165,,,,,,,,
2025-07,"Unidade Local de Saúde do Médio Ave, E.P E.",,177,4332,,,,,,,,
2025-07,"Unidade Local de Saúde do Nordeste, E.P.E.",,173,5641,,,,,,,,
2025-07,"Unidade Local de Saúde da Arrábida, E. P. E.",,197,7581,,,,,,,,
2025-07,"Unidade Local de Saúde da Cova da Beira, E. P. E.",,227,4040,,,,,,,,
2025-07,"Unidade Local de Saúde da Lezíria, E. P. E.",,830,7345,,,,,,,,
2025-07,"Unidade Local de Saúde da Região de Leiria, E. P. E.",,450,9143,,,,,,,,
2025-07,"Unidade Local de Saúde de Entre Douro e Vouga, E. P. E.",,401,8847,,,,,,,,
2025-07,"Unidade Local de Saúde de Matosinhos, E.P.E.",,798,8551,,,,,,,,
