Período;ARS;Hospital;Localização Geográfica;Grupo Hospitalar;DDD Consumidas de Carbapenemes;DDD Consumidas dos Restantes Antibióticos;Peso
2021-06;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;131;4408;0.028891146874692783
2021-06;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1181;21543;0.05198058560270399
2021-06;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1245;13551;0.08415687882981539
2021-06;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;212;0.0
2021-07;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;0;245;0.0
2021-07;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;54;1820;0.02898661179280033
2021-07;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;496;6816;0.06785809981692882
2021-07;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;256;5605;0.04367824263320654
2021-07;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;308;6637;0.04438849703805325
2021-07;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;349;6658;0.0498750801224016
2021-07;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;181;2939;0.05799965285658971
2021-07;LVT;Hospital de Vila Franca de Xira, E.P.E.;38.952565, -8.992398;Grupo C;290;6139;0.04510171492050269
2021-07;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;365;6576;0.05261993455308814
2021-07;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;632;7593;0.07692454627859882
2021-07;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;270;10667;0.024715315116893677
2021-07;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;860;13077;0.0617618272276302
2021-07;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;1595;25376;0.059163410319452055
2021-07;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1339;13839;0.08824769526051572
2021-07;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;288;0.0
2021-08;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;136;3738;0.03510459318895913
2021-08;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;435;6287;0.06480081310890194
2021-08;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;200;7870;0.024862530384914976
2021-08;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;129;653;0.16579759497712016
2021-09;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;8;439;0.017885659533695305
2021-09;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;145;3576;0.03905147898519887
2021-09;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;270;5751;0.04483857224338171
2021-09;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;288;6531;0.042325567187561274
2021-09;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;523;6043;0.07976512413970868
2021-09;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;600;13993;0.041145935764148205
2021-09;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;1612;26271;0.05784372379266476
2021-09;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;1499;24633;0.05737075684767165
2021-09;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1164;20805;0.05300506345438741
2021-09;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;140;1054;0.11764295676429536
2021-10;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;5;0.0
2021-10;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;139;2381;0.055210001086253326
2021-10;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;222;7372;0.029252365527602995
2021-10;LVT;Hospital de Vila Franca de Xira, E.P.E.;38.952565, -8.992398;Grupo C;275;5670;0.046305855971596074
2021-10;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;694;9296;0.06949512332274477
2021-10;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;1095;11811;0.08486758118907581
2021-10;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;557;11444;0.046463903585515436
2021-10;Centro;Centro Hospitalar e Universitário de Coimbra, E.P.E.;40.2191523, -8.4098211;Grupo E;1985;27056;0.0683531036884612
2021-10;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1458;23328;0.05885168728021966
2021-10;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;607;5269;0.10332295192227166
2021-11;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;7;267;0.02814769975786925
2021-11;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;180;0.0
2021-11;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;726;7961;0.08359889795535215
2021-11;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;74;2396;0.030216021428709043
2021-11;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;396;9722;0.03915365911051842
2021-11;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;224;6407;0.03387489426436028
2021-11;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;269;8254;0.031579013527112294
2021-11;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;232;7785;0.028945612093163448
2021-11;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;52;2643;0.019472949820725265
2021-11;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;130;2794;0.04444911790345614
2021-11;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1452;22559;0.060483682049994575
2021-12;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;16;344;0.04573381992885848
2021-12;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;167;0.0
2021-12;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;15;392;0.038552545691906005
2021-12;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;0;0.0
2021-12;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;69;2256;0.030021085385575935
2021-12;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;279;8025;0.03360685583873067
2021-12;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;221;6645;0.032279850236750576
2021-12;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;340;9298;0.03527365178013991
2021-12;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;336;10603;0.030773519843207333
2021-12;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;753;13502;0.05286634965710797
2021-12;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1418;22822;0.058537106650100625
2022-01;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;3;371;0.008684034736138945
2022-01;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;211;0.0
2022-01;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;105;2398;0.04212991721707383
2022-01;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;65;2030;0.031166943049907966
2022-01;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;80;5302;0.014922925126265085
2022-01;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;364;10050;0.03496662434372799
2022-01;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;197;7579;0.025344529187033338
2022-01;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;396;6678;0.05605314389267566
2022-01;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;180;8923;0.019809398400898008
2022-01;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;620;6760;0.0840637104930237
2022-01;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;437;11900;0.03548674955828105
2022-01;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;1050;21474;0.04664055596285439
2022-02;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;666;6302;0.09566100473094906
2022-02;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;95;5457;0.01713814674046843
2022-02;LVT;Hospital Beatriz Ângelo E.P.E.;38.821342, -9.176377;Grupo C;362;6581;0.052134345494623084
2022-02;LVT;Hospital de Vila Franca de Xira, E.P.E.;38.952565, -8.992398;Grupo C;190;5194;0.03528924020894947
2022-02;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;400;6553;0.05759193404780286
2022-02;LVT;Hospital Prof. Doutor Fernando Fonseca, E.P.E.;38.7422257, -9.2264834;Grupo D;705;13732;0.048887399390305085
2022-02;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;556;4950;0.10107287254680501
2022-02;LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771, -9.1460705;Psiquiátricos;0;294;0.0
2022-02;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;353;0.0
2022-03;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;75;2185;0.03360928677660928
2022-03;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;185;4652;0.03830875193885558
2022-03;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;126;3202;0.03787590702265306
2022-03;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;446;9085;0.046801116052554215
2022-03;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;267;2876;0.08492848785031866
2022-03;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;319;11320;0.027461808685119188
2022-03;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;722;8528;0.07813028448192474
2022-03;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;1179;22022;0.05082551556943361
2022-03;Norte;Instituto Português de Oncologia, E.P.E. - Porto;41.1785642, -8.6062881;Grupo F;630;5215;0.10788264303618063
2022-04;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;91;2454;0.03600518287593501
2022-04;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;579;6155;0.08608988833555009
2022-04;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;297;8120;0.0353599531701702
2022-04;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;194;3439;0.05360377228714005
2022-05;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;172;5775;0.02898764410760033
2022-05;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;265;7506;0.03412948371669328
2022-05;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;317;8639;0.03544746611091986
2022-05;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;48;2898;0.016343809771950185
2022-05;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;501;11103;0.0432218447119843
2022-05;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;926;13381;0.06475272666560532
2022-05;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;87;1063;0.07618259407733091
2022-05;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;288;0.0
2022-06;Centro;Centro de Medicina de Reabilitacao da Regiao Centro Rovisco Pais;40.297919, -8.7707806;Grupo A;5;408;0.012702344605103982
2022-06;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;167;2834;0.055909685777360524
2022-06;LVT;Hospital Beatriz Ângelo E.P.E.;38.821342, -9.176377;Grupo C;329;7927;0.03992508639718331
2022-07;Centro;Unidade Local de Saúde da Guarda, E.P.E.;40.5309916, -7.2734793;Grupo B;351;4698;0.06966427386100772
2022-07;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;487;6602;0.06881801484416125
2022-07;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;305;6647;0.04395929753010578
2022-07;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;333;3089;0.09742847802346855
2022-07;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;485;11691;0.03985202707016474
2022-07;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;784;12952;0.05714414467503919
2022-07;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;115;4331;0.025935793206132103
2022-07;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;1165;11753;0.09022407425154974
2022-08;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;21;398;0.050426841373833596
2022-08;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;232;8458;0.026788063519404732
2022-08;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;290;7092;0.03936843459681771
2022-08;LVT;Centro Hospitalar do Médio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;583;6953;0.07735608937788573
2022-08;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;238;3512;0.06360744779387215
2022-08;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;732;6394;0.10281884104569282
2022-08;Norte;Unidade Local de Saúde de Matosinhos, E.P.E.;41.1794456, -8.6745115;Grupo C;307;7345;0.040224609440322856
2022-08;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;683;12553;0.05166695610858394
2022-08;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;1099;13006;0.07795911391683952
2022-08;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;1387;23505;0.05573315380186523
2022-08;Norte;Centro Hospitalar Universitário de São João, E.P.E.;41.1831056, -8.6010558;Grupo E;1301;23198;0.05313939191864463
2022-08;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;1645;24950;0.06186910568998946
2022-08;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;102;1050;0.08925713695730725
2022-09;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;52;2581;0.019871890496661635
2022-09;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;292;7506;0.03754657069159279
2022-09;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;669;11852;0.05349207739038975
2022-09;Algarve;Centro Hospitalar Universitário do Algarve, E.P.E.;37.0238973, -7.9281554;Grupo D;509;13051;0.037582978699496526
2022-09;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;411;4749;0.07974379023459748
2022-09;Norte;Hospital de Magalhaes de Lemos, E.P.E.;41.1764649, -8.6649823;Psiquiátricos;0;242;0.0
2022-10;Centro;Unidade Local de Saúde de Castelo Branco, E.P.E.;39.8212263, -7.4981271;Grupo B;157;3048;0.04920772870676124
2022-10;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;371;6941;0.05073515286425805
2022-10;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;1000;13220;0.07032509951776901
2022-10;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;1311;12504;0.0949138311800102
2022-10;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;74;1274;0.05533059856203958
2022-11;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;17;478;0.03611451059438964
2022-11;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;110;2213;0.04758209306911927
2022-11;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;77;3159;0.024094205696558606
2022-11;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;50;2617;0.018740880553659155
2022-11;Norte;Unidade Local de Saúde do Nordeste, E.P.E.;41.8056532, -6.7888197;Grupo B;50;5924;0.008493458728458372
2022-11;Norte;Centro Hospitalar de Entre Douro e Vouga, E.P.E.;40.9293884, -8.5458794;Grupo C;140;8582;0.016088536631037466
2022-11;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;213;3740;0.053869769561111315
2022-11;LVT;Hospital Distrital de Santarém, E.P.E.;39.2410946, -8.6937515;Grupo C;889;7624;0.10445927739584518
2022-11;Alentejo;Unidade Local de Saúde do Baixo Alentejo, E.P.E.;38.014123, -7.8721227;Grupo C;71;2322;0.02979641766700822
2022-11;Norte;Centro Hospitalar Universitário do Porto, E.P.E.;41.1472498, -8.6172617;Grupo E;1482;15451;0.08754335788742403
2022-11;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;116;1124;0.09405660467837372
2022-12;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;60;420;0.125089845589511
2022-12;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;2;0.0
2022-12;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;649;8627;0.06998990412177518
2022-12;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;428;6680;0.06029582597757441
2022-12;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;480;10650;0.0431818393286066
2022-12;LVT;Centro Hospitalar do Médio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;455;8532;0.050640813664922533
2022-12;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;150;4226;0.03434909979137023
2022-12;LVT;Hospital de Vila Franca de Xira, E.P.E.;38.952565, -8.992398;Grupo C;221;6379;0.03352963825610526
2022-12;Norte;Centro Hospitalar de Vila Nova de Gaia/ Espinho, E.P.E.;41.1094138, -8.5972617;Grupo D;475;13043;0.03518575877929704
2022-12;LVT;Centro Hospitalar de Lisboa Ocidental, E.P.E.;38.708454, -9.216985;Grupo E;1121;14174;0.0733344407310101
2022-12;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;59;1289;0.04422795220698536
2023-01;Centro;Hospital Arcebispo Joao Crisóstomo - Cantanhede;40.3470015, -8.5933462;Grupo A;0;245;0.0
2023-01;Norte;Centro Hospitalar do Médio Ave, E.P.E.;41.3423984, -8.4802503;Grupo B;195;4943;0.037946575947013825
2023-01;LVT;Centro Hospitalar do Oeste, E.P.E.;39.4054629, -9.1258493;Grupo B;552;7615;0.06758808786189044
2023-01;Norte;Centro Hospitalar Póvoa de Varzim / Vila do Conde, E.P.E.;41.3828711, -8.7589945;Grupo B;89;2558;0.03374260025765605
2023-01;Norte;Hospital de Santa Maria Maior, E.P.E. - Barcelos;41.5324234, -8.6171561;Grupo B;45;2951;0.015018803303342081
2023-01;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;166;2820;0.055736659626190566
2023-01;LVT;Centro Hospitalar Barreiro Montijo, E.P.E.;38.6554005, -9.0592392;Grupo C;489;7479;0.06140647478969205
2023-01;Centro;Centro Hospitalar de Leiria-Pombal, E.P.E.;39.7414812, -8.7982706;Grupo C;453;10867;0.0400444513039106
2023-01;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;281;7731;0.03511086894745339
2023-01;LVT;Centro Hospitalar do Médio Tejo, E.P.E.;39.478072, -8.5404429;Grupo C;433;8927;0.046325938184605085
2023-01;Norte;Centro Hospitalar do Tâmega e Sousa, E.P.E.;41.2494561, -8.264901;Grupo C;312;10443;0.029061585392106685
2023-01;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;190;8818;0.02116260856352558
2023-01;LVT;Hospital de Vila Franca de Xira, E.P.E.;38.952565, -8.992398;Grupo C;211;6786;0.0302017761747592
2023-01;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;403;9340;0.041369055618953626
2023-01;Alentejo;Unidade Local de Saúde do Norte Alentejano, E.P.E.;39.3003425, -7.4263845;Grupo C;209;3287;0.0599991149568881
2023-01;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;158;7127;0.02174314430016551
2023-01;Alentejo;Hospital Espírito Santo, E.P.E. - Evora;38.5684861, -7.9032848;Grupo D;145;4951;0.028481670501127043
2023-01;LVT;Hospital Garcia da Orta, E.P.E.;38.6658713, -9.1822554;Grupo D;373;13294;0.027343426116050742
2023-01;Centro;Instituto Português de Oncologia, E.P.E. - Coimbra;40.2162514, -8.4103814;Grupo F;47;732;0.060689781495416914
2023-01;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;532;4619;0.10327283940962545
2023-02;LVT;Instituto de Oftalmologia Dr. Gama Pinto;38.7218793, -9.144249;Grupo A;0;8;0.0
2023-02;Centro;Hospital Distrital Figueira da Foz, E.P.E.;40.117897, -8.8586755;Grupo B;101;2871;0.0341982564495482
2023-02;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;143;3549;0.03881506587653856
2023-02;LVT;Hospital Beatriz Ângelo E.P.E.;38.821342, -9.176377;Grupo C;362;7365;0.046845996149881934
2023-02;Norte;Hospital da Senhora da Oliveira Guimaraes, E.P.E.;41.4387173, -8.3086907;Grupo C;245;7656;0.031046234604559693
2023-02;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;452;9044;0.04767960229811716
2023-02;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;553;8839;0.05889190544071835
2023-02;LVT;Centro Hospitalar Universitário de Lisboa Norte, E.P.E.;38.7500861, -9.1616116;Grupo E;952;24240;0.03782040052382847
2023-02;LVT;Centro Hospitalar Universitário Lisboa Central, E.P.E.;38.7166948, -9.1371248;Grupo E;925;22188;0.04005532854498213
2023-02;LVT;Instituto Português de Oncologia, E.P.E. - Lisboa;38.7396768, -9.1634516;Grupo F;516;4560;0.10175492069446551
2023-03;Centro;Hospital Dr. Francisco Zagalo  - Ovar;40.8571967, -8.6318023;Grupo A;27;446;0.05774502653353782
2023-03;Alentejo;Unidade Local de Saúde do Litoral Alentejano, E.P.E.;38.0162314, -8.6956768;Grupo B;65;2907;0.022193133098752187
2023-03;LVT;Centro Hospitalar de Setúbal, E.P.E.;38.5283754, -8.8818638;Grupo C;243;7163;0.032854288658037266
2023-03;Centro;Centro Hospitalar do Baixo Vouga, E.P.E.;40.6362453, -8.6543716;Grupo C;234;8425;0.027126781307664036
2023-03;Centro;Centro Hospitalar Universitário Cova da Beira, E.P.E.;40.2804158, -7.4922407;Grupo C;171;3993;0.0411038989812649
2023-03;LVT;Hospital Beatriz Ângelo E.P.E.;38.821342, -9.176377;Grupo C;506;8080;0.05892894180420391
2023-03;LVT;Hospital de Vila Franca de Xira, E.P.E.;38.952565, -8.992398;Grupo C;253;6692;0.036473445200848116
2023-03;Norte;Unidade Local de Saúde do Alto Minho, E.P.E.;41.7056054, -8.8252713;Grupo C;453;8991;0.04803005399839447
2023-03;Norte;Centro Hospitalar de Tras os Montes e Alto Douro, E.P.E.;41.3031784, -7.7515252;Grupo D;465;11718;0.03819224668470622
2023-03;Centro;Centro Hospitalar Tondela-Viseu, E.P.E.;40.516364, -8.0827433;Grupo D;702;9712;0.06748183460977074
2023-03;Norte;Hospital de Braga, E.P.E.;41.567781, -8.399268;Grupo D;866;14318;0.05707137755697865
